timestamp,policy,total_requests,completed_requests,pending_requests,completion_rate,avg_wait_time,avg_trip_time,total_distance_traveled,avg_distance_per_vehicle,total_customers_served,current_avg_occupancy,time_steps
2026-02-08T13:07:23.705658,Nearest,144,57,18,0.3958333333333333,4.368421052631579,22.19298245614035,366,73.2,57,7.8,100
2026-02-08T13:07:23.710764,Random,135,52,57,0.3851851851851852,4.384615384615385,23.346153846153847,363,72.6,52,6.6,100
