Policy,Mean_Reward,Std_Reward,Mean_Completion,Std_Completion
Random,619.3460000000001,112.1315512199853,19.66315275734624,2.115927264494255
Greedy,-125.99999999999991,88.78301048060939,6.577070850344272,1.1349353934614668
ML Agent,881.3780000000006,163.2785683456342,24.250516096967253,3.533787972847493
